state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,EPU_National,EPU_State,EPU_Composite,US_monthly_EPU,max_new_case,max_new_death,total_new_case,total_new_death,new_case,new_death,tot_cases,tot_death,is_school,is_res,is_bus,is_sip,repub_share_2016,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,unemp,emp,coincident_indic,population,state_code,period,lpop,num_papers,pres_general_election,pres_vote_margin,gov_general_election,gov_general_vote_share,gov_repub_dem_third,gov_primary_election,gov_primary_vote_share
MS,2017,7,6211,2,2,2,1,2017.5,51.739544,51.739544,25.869772,51.739544,136.25589,,,,,,,,,,,,,.57941037,,,,,,,,,5.2,1151,115.43217234,2988510,MS,24211,14.910286,27,,,,,,,
MS,2017,8,6740,4,4,3,1,2017.5834,95.357361,71.518021,23.83934,95.357361,133.09068,,,,,,,,,,,,,.57941037,,,,,,,,,5.1,1151.4,115.6314662,2988510,MS,24212,14.910286,27,,,,,,,
MS,2017,9,6656,2,6,2,5,2017.6666,48.280396,48.280396,120.70099,144.84119,112.58575,,,,,,,,,,,,,.57941037,,,,,,,,,5,1151.3,115.81678693,2988510,MS,24213,14.910286,27,,,,,,,
MS,2017,10,7015,2,4,1,3,2017.75,45.809597,22.904799,68.714394,91.619194,121.51174,,,,,,,,,,,,,.57941037,,,,,,,,,5,1152.2,116.035437,2988510,MS,24214,14.910286,27,,,,,,,
MS,2017,11,6588,6,8,5,4,2017.8334,146.3362,121.94683,97.557465,195.11493,107.43305,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1153.1,116.17776721,2988510,MS,24215,14.910286,27,,,,,,,
MS,2017,12,6045,2,5,5,1,2017.9166,53.160347,132.90086,26.580173,132.90086,135.49501,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1152.8,116.24930465,2988510,MS,24216,14.910286,27,,,,,,,
MS,2018,1,6532,2,2,2,0,2018,49.196922,49.196922,0,49.196922,155.39882,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1150.1,116.26764318,2981020,MS,24217,14.907776,24,,,,,,,
MS,2018,2,6068,1,1,1,0,2018.0834,26.479424,26.479424,0,26.479424,110.78579,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1149.9,116.41805156,2981020,MS,24218,14.907776,24,,,,,,,
MS,2018,3,6477,6,6,3,3,2018.1666,148.84404,74.42202,74.42202,148.84404,180.62363,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1153.7,116.66603789,2981020,MS,24219,14.907776,24,,,,,,,
MS,2018,4,6465,3,4,2,2,2018.25,74.560165,49.706776,49.706776,99.413551,134.22569,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1153.7,116.91366266,2981020,MS,24220,14.907776,24,,,,,,,
